scene,offset,speaker,risk,revisar,source_en,target_pt,correcao,nota
ch_11_02,0xedd9,Kuon,low,,"a parent saying ""I'm not mad, just\n","um pai dizendo ""não estou bravo, só\n",,
ch_11_02,0xedfe,Kuon,low,,"disappointed in you.""","decepcionado com você"".",,
ch_11_02,0xee14,Kuon,low,,"N-No, look, I can explain! I'm only dressed\n","N-Não, olha, eu explico! Só estou vestido\n",,
ch_11_02,0xee42,Kuon,low,,like this 'cause there wasn't any underwear!,assim porque não tinha nenhuma roupa de baixo!,,
ch_11_02,0xee6f,Kuon,low,,...The thing you have wrapped around your\n,...A coisa que você enrolou na\n,,
ch_11_02,0xee9b,Kuon,low,,waist right now is an aperyu. It goes on\n,cintura agora é um aperyu. Vai\n,,
ch_11_02,0xeec6,Kuon,low,,your shoulders.,nos ombros.,,
ch_11_02,0xeed6,Haku,low,,Huh?,Hein?,,
ch_11_02,0xeedb,Kuon,low,amostra,You've got everything on the wrong sides for\n,Você pôs tudo no lado errado para\n,,
ch_11_02,0xef0a,Kuon,low,,"the top, too... and I think the pants are on\n","a parte de cima, também... e acho que a calça está\n",,
ch_11_02,0xef39,Kuon,low,,backwards.,do avesso.,,
ch_11_02,0xef44,Kuon,low,,"Backwards...? Hold on, the fly's here.\n","Do avesso...? Espera, a braguilha está aqui.\n",,
ch_11_02,0xef6d,Kuon,low,,"So that makes it the front, right?","Então isto é a frente, né?",,
ch_11_02,0xef90,Kuon,low,,That's where the tail's supposed to run\n,É por aí que a cauda deveria\n,,
ch_11_02,0xefba,Kuon,low,,through...,passar...,,
ch_11_02,0xefc5,Kuon,low,,Huh...? Tail...?,Hã...? Cauda...?,,
ch_11_02,0xefd6,Kuon,low,,I'm caught off guard. A tail's not exactly\n,Sou pego de surpresa. Cauda não é exatamente\n,,
ch_11_02,0xf003,Kuon,low,,something you expect to come up in normal\n,algo que se espera ouvir numa conversa\n,,
ch_11_02,0xf02f,Kuon,low,,conversation.,normal.,,
ch_11_02,0xf03d,Kuon,low,,"I glance over, and notice something swaying\n",Dou uma olhada e noto algo balançando\n,,
ch_11_02,0xf06b,Kuon,low,,behind her.,atrás dela.,,
ch_11_02,0xf077,Kuon,low,,"Something ropelike, extending from just above\n","Algo como uma corda, saindo logo acima\n",,
ch_11_02,0xf0a7,Kuon,low,,"her rear. Something covered in fur, almost\n","do traseiro dela. Algo coberto de pelo, quase\n",,
ch_11_02,0xf0d4,Kuon,low,,like...,como...,,
ch_11_02,0xf0dc,Kuon,low,,...a tail?,...uma cauda?,,
ch_11_02,0xf0e7,Kuon,low,,"Come to think of it, I think I saw it behind\n","Pensando bem, acho que vi isto atrás\n",,
ch_11_02,0xf116,Kuon,low,,her while we were running in the caves...,dela enquanto corríamos nas cavernas...,,
ch_11_02,0xf140,Kuon,low,,"But I dismissed the thought, of course.\n","Mas descartei a ideia, é claro.\n",,
ch_11_02,0xf16a,Kuon,low,,Common sense says that's ridiculous.,O bom senso diz que isso é ridículo.,,
ch_11_02,0xf18f,Kuon,low,,"No, no, no. There's just no way. It must be\n","Não, não, não. Não tem como. Deve ser\n",,
ch_11_02,0xf1bd,Kuon,low,,some kind of accessory or something...,algum tipo de acessório ou coisa assim...,,
ch_11_02,0xf1e4,Kuon,low,,"As I ponder the possibilities, I reach out\n","Enquanto pondero as possibilidades, estendo\n",,
ch_11_02,0xf211,Kuon,low,amostra,and grasp the swaying tail.,a mão e agarro a cauda que balança.,,
ch_11_02,0xf22d,Kuon,low,,H-Hgh!,Hngh!,,
ch_11_02,0xf234,Kuon,low,,"Wow, this is really something. It looks and\n","Nossa, isto é impressionante. Parece e\n",,
ch_11_02,0xf262,Kuon,low,,feels like it's an actual tail...,tem o toque de uma cauda de verdade...,,
ch_11_02,0xf284,Kuon,low,amostra,And this texture! It's even soft to the touch.,E essa textura! É até macia ao toque.,,
ch_11_02,0xf2b3,Kuon,low,,H-Haah! Ah... Wh... Wha...,H-Hã! Ah... Q... Quê...,,
ch_11_02,0xf2ce,Kuon,low,,"Fluffy, soft, and silky smooth. It feels\n","Fofa, macia e sedosa. É uma sensação\n",,
ch_11_02,0xf2f9,Kuon,low,,amazing... It'd make a perfect scarf.,incrível... Daria um cachecol perfeito.,,
ch_11_02,0xf31f,Kuon,low,,"And it's even wriggling, but I can't work\n","E até se contorce, mas não consigo\n",,
ch_11_02,0xf34b,Kuon,low,,out if there's some mechanism moving it...,descobrir se há algum mecanismo movendo isto...,,
ch_11_02,0xf376,Kuon,low,,*Floof*,*Pluf*,,
ch_11_02,0xf37e,Kuon,low,,Hm?,Hum?,,
ch_11_02,0xf382,Kuon,low,,Ngh... Ghh... Hngh!,Nnh... Argh... Hngh!,,
ch_11_02,0xf396,Kuon,low,,What's this? It's even getting all fluffed\n,O que é isto? Está até ficando todo arrepiado\n,,
ch_11_02,0xf3c3,Kuon,low,,up now...,agora...,,
ch_11_02,0xf3cd,Kuon,low,,"As I run my hands over the soft fur, it\n","Enquanto passo as mãos pelo pelo macio, ele\n",,
ch_11_02,0xf3f7,Kuon,low,,"suddenly puffs up, like its hairs are\n","de repente se infla, como se os pelos\n",,
ch_11_02,0xf41f,Kuon,low,,standing on end.,ficassem em pé.,,
ch_11_02,0xf430,Kuon,low,,The heck...?,Mas que...?,,
ch_11_02,0xf43d,Kuon,low,,"Curiosity getting the better of me, I grab it\n","A curiosidade falando mais alto, agarro com\n",,
ch_11_02,0xf46d,Kuon,low,,with both hands. And at that moment...,as duas mãos. E nesse momento...,,
ch_11_02,0xf494,Haku,low,identico-fonte,Ah...!\n,Ah...!\n,,
ch_11_02,0xf49d,Kuon,low,,...Waaaaaaaaaah!,...Aaaaaah!,,
ch_11_02,0xf4ae,Kuon,low,,...Gah! Wh-What the--,...Gah! Q-Que diabos--,,
ch_11_02,0xf4c4,Kuon,low,,"Her outburst surprises me, and I instinctively\n","O grito dela me assusta, e instintivamente\n",,
ch_11_02,0xf4f5,Kuon,low,,let go of the tail.,solto a cauda.,,
ch_11_02,0xf509,Kuon,low,,"I look back to her, uncertain of what just\n","Olho de volta pra ela, sem saber o que\n",,
ch_11_02,0xf536,Kuon,low,,happened.,acabou de acontecer.,,
ch_11_02,0xf549,Kuon,low,,"As I meet her eyes, I see her shoulders\n","Quando encontro o olhar dela, vejo os ombros\n",,
ch_11_02,0xf573,Kuon,low,,trembling... and she's glaring at me?,tremendo... e ela está me encarando furiosa?,,
ch_11_02,0xf599,Kuon,low,,"H-Hey, what's wrong...?","E-Ei, o que foi...?",,
ch_11_02,0xf5b1,Kuon,low,,What's... wrong...?,O que... foi...?,,
ch_11_02,0xf5c5,Kuon,low,,"Staring icily, the girl steps towards me.","Encarando friamente, a garota dá um passo na minha direção.",,
ch_11_02,0xf5ef,Kuon,low,,What... do you think you're doing?,O que... você pensa que está fazendo?,,
ch_11_02,0xf612,Kuon,low,,What do I... what?,O que eu... quê?,,
ch_11_02,0xf625,Kuon,low,,You heard me!,Você ouviu!,,
ch_11_02,0xf633,Kuon,low,,"What are you doing, grabbing a girl's tail like\n","O que você está fazendo, agarrando a cauda de uma\n",,
ch_11_02,0xf665,Kuon,low,,"that? I was quite clear, I think!",garota assim? Acho que fui bem clara!,,
ch_11_02,0xf687,Kuon,low,,"Grabbing a...? No, that was only...","Agarrando uma...? Não, aquilo foi só...",,
ch_11_02,0xf6ab,Kuon,low,,"Wait, you don't mean that's... that's real?","Espera, você não quer dizer que isso é... é de verdade?",,
ch_11_02,0xf6d7,Kuon,low,,Of course it is! If this beautiful tail of mine\n,Claro que é! Se esta minha linda cauda\n,,
ch_11_02,0xf709,Kuon,low,,"isn't real, then what is?","não é de verdade, então o que é?",,
ch_11_02,0xf723,Kuon,low,amostra,"N-No, it's just...","N-Não, é só que...",,
ch_11_02,0xf736,Man,low,,Urgh--,Argh--,,
ch_11_02,0xf73d,Kuon,low,,"I stagger backwards, feeling a sense of power\n","Cambaleio pra trás, sentindo uma força\n",,
ch_11_02,0xf76d,Kuon,low,,from her completely at odds with her cute\n,vinda dela totalmente em desacordo com a aparência\n,,
ch_11_02,0xf799,Kuon,low,,looks.,fofa.,,
ch_11_02,0xf7a0,Kuon,low,,"She strokes her tail lovingly, as if she's\n","Ela acaricia a cauda com carinho, como se\n",,
ch_11_02,0xf7cd,Kuon,low,,trying to soothe the thing after my picking\n,tentasse consolar a coisa depois de eu\n,,
ch_11_02,0xf7fb,Kuon,low,,at it.,mexer nela.,,
ch_11_02,0xf802,Kuon,low,,"But even still, just grabbing my tail without\n","Mas mesmo assim, agarrar minha cauda sem\n",,
ch_11_02,0xf832,Kuon,low,,even a warning...,nem um aviso...,,
ch_11_02,0xf844,Kuon,low,,"No... well, I mean... how do I put it...","Não... bem, quer dizer... como eu explico...",,
ch_11_02,0xf86d,Kuon,low,amostra,She lets out a deep sigh.,Ela solta um suspiro fundo.,,
ch_11_02,0xf887,Kuon,low,,"...It looks like you honestly didn't know,\n","...Parece que você honestamente não sabia,\n",,
ch_11_02,0xf8b4,Kuon,low,,so I suppose it can't be helped. I'll let\n,então acho que não tem jeito. Vou deixar\n,,
ch_11_02,0xf8e0,Kuon,low,,it go for now.,passar por enquanto.,,
ch_11_02,0xf8ef,Kuon,low,,Well... sorry.,Bem... desculpa.,,
ch_11_02,0xf8fe,Kuon,low,,But it's not like you would expect anyone to\n,Mas não é como se a gente esperasse alguém\n,,
ch_11_02,0xf92d,Kuon,low,,have a real tail.,ter uma cauda de verdade.,,
ch_11_02,0xf93f,Kuon,low,,"I mean, humans did evolve from apes, and I\n","Quer dizer, os humanos evoluíram dos macacos, e\n",,
ch_11_02,0xf96c,Kuon,low,,guess there's been cases of reverse evolution...,acho que houve casos de evolução reversa...,,
ch_11_02,0xf99d,Kuon,low,,"The girl looks at me strangely, as if she wants\n","A garota me olha estranho, como se quisesse\n",,
ch_11_02,0xf9cf,Kuon,low,,to respond to my belated attempt at excuses.,responder à minha tentativa atrasada de desculpa.,,
ch_11_02,0xf9fc,Haku,low,,...Hm?,...Hum?,,
ch_11_02,0xfa03,Kuon,low,,...Am I seeing things?,...Será que estou vendo coisas?,,
ch_11_02,0xfa1a,Kuon,low,,"A beautiful face, elegant facial features,\n","Um rosto lindo, traços elegantes,\n",,
ch_11_02,0xfa47,Kuon,low,,and shiny black hair. Yep. No problems here.,e cabelo preto brilhante. É. Nada de errado aqui.,,
ch_11_02,0xfa74,Kuon,low,,"She's definitely cute, but that's not really\n","Ela é uma graça, sem dúvida, mas não é bem\n",,
ch_11_02,0xfaa3,Kuon,low,,the issue right now. The problem is...,essa a questão agora. O problema é...,,
ch_11_02,0xfaca,Kuon,low,,"...I-I didn't notice in all the commotion,\n","...E-Eu não tinha notado em meio à confusão,\n",,
ch_11_02,0xfaf7,Kuon,low,,but... are those furry tufts on her head?,mas... aquilo são tufos de pelo na cabeça dela?,,
ch_11_02,0xfb21,Kuon,low,,What's wrong now?,O que foi agora?,,
ch_11_02,0xfb33,Kuon,low,,"Those big ears... big, furry ears... twitch\n",Aquelas orelhas grandes... grandes e peludas... se mexem\n,,
ch_11_02,0xfb61,Kuon,low,,for a moment.,por um instante.,,
ch_11_02,0xfb6f,Kuon,low,,"Oh... uh... well, that's... um.","Ah... é... bem, isso é... hum.",,
ch_11_02,0xfb8f,Kuon,low,,"Ears and a tail... She looks human, but is she\n","Orelhas e cauda... Ela parece humana, mas será\n",,
ch_11_02,0xfbc0,Kuon,low,,something else?,que é outra coisa?,,
ch_11_02,0xfbd0,Kuon,low,,"No, wait. I can't afford for her to leave me\n","Não, espera. Não posso deixar ela me abandonar\n",,
ch_11_02,0xfbff,Kuon,low,,behind for asking too many dumb questions...,por eu fazer perguntas idiotas demais...,,
ch_11_02,0xfc2c,Haku,low,,...It's nothing.,...Não é nada.,,
ch_11_02,0xfc3d,Kuon,low,,Best to just act like I didn't see anything.,Melhor agir como se eu não tivesse visto nada.,,
ch_11_02,0xfc6a,Kuon,low,,"Uhh, I'm not too familiar with the customs and\n","Ãh, é que eu não conheço muito bem os costumes\n",,
ch_11_02,0xfc9b,Kuon,low,,"etiquette around these parts, is the thing.","e a etiqueta destas bandas, sabe.",,
ch_11_02,0xfcc7,Kuon,low,,That's plain enough just from looking at you.\n,Isso é bem evidente só de olhar pra você.\n,,
ch_11_02,0xfcf7,Kuon,low,,What are you doing with these clothes...?,O que você está fazendo com essas roupas...?,,
ch_11_02,0xfd21,Kuon,low,,The girl lets out a small sigh at my excuse.,A garota solta um suspirinho diante da minha desculpa.,,
ch_11_02,0xfd4e,Kuon,low,,"Anyhow, we may as well get you properly dressed.","De todo jeito, é melhor te vestir direito.",,
ch_11_02,0xfd7f,Kuon,low,,Y-Yeah...,É-É...,,
ch_11_02,0xfd89,Kuon,low,,"At her words, I hastily start working on\n","Diante das palavras dela, me apresso a desfazer\n",,
ch_11_02,0xfdb4,Kuon,low,,undoing the strings. Maybe I made the knots\n,os nós. Talvez eu tenha apertado os nós\n,,
ch_11_02,0xfde2,Kuon,low,,too tight...,demais...,,
ch_11_02,0xfdef,Kuon,low,,There... we go. Phew... That's one untied.\n,Pronto... Ufa... Esse já desatou.\n,,
ch_11_02,0xfe1c,Kuon,low,,"Next, I'll... Ngh... This one's knotted\n",Agora vou... Ngh... Este também está\n,,
ch_11_02,0xfe46,Kuon,low,,pretty tight too...,bem apertado...,,
ch_11_02,0xfe5a,Kuon,low,amostra,"As I fumble, the girl kneels, and patiently\n","Enquanto me atrapalho, a garota se ajoelha e\n",,
ch_11_02,0xfe88,Kuon,low,,starts undoing the knots herself with\n,começa a desatar os nós com\n,,
ch_11_02,0xfeb0,Kuon,low,,easy deftness.,destreza tranquila.,,
ch_11_02,0xfebf,Kuon,low,,Hold still.,Fica quieto.,,
ch_11_02,0xfecb,Kuon,low,,A-All right. Thanks.,T-Tá bom. Obrigado.,,
ch_11_02,0xfee0,Kuon,low,,*Swish*,*Vuf*,,
ch_11_02,0xfee8,Kuon,low,,I never imagined you'd use this as a sash...,Nunca imaginei que você usaria isto como faixa...,,
ch_11_02,0xff15,Kuon,low,,"She murmurs with an odd wryness, setting her\n","Ela murmura com uma ironia esquisita, voltando a\n",,
ch_11_02,0xff44,Kuon,low,,attentions on the sash holding up my pants.,atenção pra faixa que segura minha calça.,,
ch_11_02,0xff70,Kuon,low,,"Really? Well, it's long and narrow, so I just\n","Sério? Bem, é comprido e estreito, então eu só\n",,
ch_11_02,0xffa0,Kuon,low,,figured.,imaginei.,,
ch_11_02,0xffa9,Kuon,low,,I almost miss her muttered reply.,Quase não escuto a resposta murmurada dela.,,
ch_11_02,0xffcb,Kuon,low,,It's underwear.,É roupa de baixo.,,
ch_11_02,0xffdb,Kuon,low,,...Huh?,...Hein?,,
ch_11_02,0xffe3,Kuon,low,,Like I said... underwear.,Como eu disse... roupa de baixo.,,
ch_11_02,0xfffd,Kuon,low,,Underwear...? This long strip of cloth is\n,Roupa de baixo...? Esta tira comprida de pano\n,,
ch_11_02,0x10029,Kuon,low,,supposed to be...?,deveria ser...?,,
ch_11_02,0x1003c,Kuon,low,,How is something this long supposed to cover...\n,Como uma coisa tão comprida deveria cobrir...\n,,
ch_11_02,0x1006e,Kuon,low,,Wait. Is it one of those loincloth things!?,Espera. É uma daquelas tangas de tira!?,,
ch_11_02,0x1009a,Kuon,low,,I suppose you can say that.,Pode-se dizer que sim.,,
ch_11_02,0x100b6,Kuon,low,,"I'm sure you didn't know, but still, the fact\n","Tenho certeza de que você não sabia, mas ainda assim, o fato\n",,
ch_11_02,0x100e6,Kuon,low,,that you decided to use it as a sash instead...,de você ter decidido usar como faixa...,,
ch_11_02,0x10116,Kuon,low,,Hrngh...,Hrgh...,,
ch_11_02,0x1011f,Kuon,low,,Hee hee...,Hehe...,,
ch_11_02,0x1012a,Kuon,low,,"The girl giggles at my visible dismay, but\n","A garota dá uma risadinha do meu desânimo visível, mas\n",,
ch_11_02,0x10157,Kuon,low,,"keeps working, hands darting over the cloth.","continua trabalhando, as mãos correndo pelo pano.",,
ch_11_02,0x10184,Kuon,low,,All that's left is...,Só falta...,,
ch_11_02,0x1019a,Kuon,low,,She pulls the cloth strip off my waist in one\n,Ela puxa a tira de pano da minha cintura num\n,,
ch_11_02,0x101ca,Kuon,low,,smooth tug. But...,puxão só. Mas...,,
ch_11_02,0x101dd,Kuon,low,,...*Flump*,...*Paf*,,
ch_11_02,0x101e8,Kuon,low,,Uh--,Ãh--,,
ch_11_02,0x101ed,Kuon,low,,That loincloth-sash was the only thing holding\n,Aquela faixa-tanga era a única coisa segurando\n,,
ch_11_02,0x1021e,Kuon,low,,"up my trousers. If that came off, then\n","minha calça. Se aquilo saiu, então\n",,
ch_11_02,0x10247,Kuon,low,amostra,naturally--,naturalmente--,,
ch_11_02,0x10253,Kuon,low,,"The pants hit the floor... and ""It"" flops before\n","A calça cai no chão... e ""Aquilo"" balança diante\n",,
ch_11_02,0x10286,Kuon,low,,"her eyes, swaying jauntily despite the lack\n","dos olhos dela, oscilando alegremente apesar da falta\n",,
ch_11_02,0x102b4,Kuon,low,,of wind.,de vento.,,
ch_11_02,0x102bd,Kuon,low,,"The girl freezes at the visual ambush, unable\n","A garota congela diante da emboscada visual, incapaz\n",,
ch_11_02,0x102ed,Kuon,low,,to tear her eyes from the strange intruder.,de tirar os olhos do estranho intruso.,,
ch_11_02,0x10319,Kuon,low,,Hello...?,Olá...?,,
ch_11_02,0x10323,Kuon,low,,"The girl's face, neck, hands and body slowly\n","O rosto, o pescoço, as mãos e o corpo da garota aos poucos\n",,
ch_11_02,0x10352,Kuon,low,,"flush bright red, like she's boiling whole.\n","ficam vermelhos vivos, como se ela fervesse inteira.\n",,
ch_11_02,0x10380,Kuon,low,,And then...,e depois...,,
ch_11_02,0x1038c,Kuon,low,,Ee.,Ii.,,
ch_11_02,0x10390,Kuon,low,,Ee?,Ii?,,
ch_11_02,0x10394,Kuon,low,,EEEEEEEEYAAAAAGH!,IIIIIIIIAAAAAAH!,,
ch_11_02,0x103a6,Kuon,low,,Hk--,Hgh--,,
ch_11_02,0x103ab,Kuon,low,,How is that scream coming out of her!?\n,Como esse grito sai dela!?\n,,
ch_11_02,0x103d4,Kuon,low,,"I feel faint for a moment, overcome by\n","Fico tonto por um momento, dominado por\n",,
ch_11_02,0x103fd,Kuon,low,,ultrasonic distress.,aflição ultrassônica.,,
ch_11_02,0x10412,Kuon,low,,"And just as I put my hands over my ears,\n","E bem quando ponho as mãos sobre os ouvidos,\n",,
ch_11_02,0x1043d,Kuon,low,,trying to block out the piercing shriek--,tentando bloquear o grito agudo--,,
ch_11_02,0x10467,Kuon,low,,*THUD*,*BAQUE*,,
ch_11_02,0x1046e,Kuon,low,,NNNAAARRGH!,NNNAAARGH!,,
ch_11_02,0x1047a,Kuon,low,,"A terrible, vengeful force hits me below,\n","Uma força terrível e vingativa me atinge embaixo,\n",,
ch_11_02,0x104a6,Kuon,low,,and my world is pain. ,e meu mundo é só dor. ,,
ch_11_02,0x104bd,Kuon,low,,That should be everything!,"Pronto, isso deve ser tudo!",,
ch_11_02,0x104d8,Kuon,low,,"The girl nods in satisfaction, giving me a\n","A garota acena satisfeita, me dando um\n",,
ch_11_02,0x10505,Kuon,low,,gentle and encouraging pat on the back.,tapinha gentil e encorajador nas costas.,,
ch_11_02,0x1052d,Kuon,low,,I-I get it. So this is how it's actually worn...,E-Entendi. Então é assim que se veste de verdade...,,
ch_11_02,0x1055e,Kuon,low,,"There's another gap in my memory, but I managed\n","Tem outra lacuna na minha memória, mas consegui\n",,
ch_11_02,0x10590,Kuon,low,largura,"to survive whatever happened, at least. Must be\n","sobreviver ao que quer que tenha acontecido, ao menos. Deve ser\n",,
ch_11_02,0x105c2,Kuon,low,,thanks to all that good karma.,graças a todo aquele bom karma.,,
ch_11_02,0x105e1,Kuon,low,,So this is what it's supposed to feel like...\n,Então é assim que deve ser a sensação...\n,,
ch_11_02,0x10611,Kuon,low,,It's easy to move in. Much different from\n,É fácil de me mexer. Bem diferente de\n,,
ch_11_02,0x1063d,Kuon,low,,earlier.,antes.,,
ch_11_02,0x10646,Kuon,low,,"I spin in place, trying to get a sense of how\n","Giro no lugar, tentando ter uma noção de como\n",,
ch_11_02,0x10676,Kuon,low,,the clothes fit.,as roupas servem.,,
ch_11_02,0x10687,Kuon,low,,"Compared to this, the first try was like\n","Comparada a isto, a primeira tentativa foi como\n",,
ch_11_02,0x106b2,Kuon,low,,getting myself into a straitjacket.,me enfiar numa camisa de força.,,
ch_11_02,0x106d6,Kuon,low,,"With no tail to speak of, and no intention\n","Sem cauda alguma, e sem intenção\n",,
ch_11_02,0x10703,Kuon,low,,"to show off my ass, we agreed to sew the\n","de mostrar minha bunda, concordamos em costurar\n",,
ch_11_02,0x1072e,Kuon,low,,tail hole shut.,o buraco da cauda.,,
ch_11_02,0x1073e,Kuon,low,,She talks about having a tail like it's\n,Ela fala em ter uma cauda como se fosse\n,,
ch_11_02,0x10768,Kuon,low,,"natural, but she seems fine with me not\n","natural, mas parece tranquila com eu não\n",,
ch_11_02,0x10792,Kuon,low,amostra,having one.,ter uma.,,
ch_11_02,0x1079e,Kuon,low,amostra,I was a bit curious about that... but I guess\n,Fiquei meio curioso sobre isso... mas acho que\n,,
ch_11_02,0x107ce,Kuon,low,,everyone's different.,cada um é de um jeito.,,
ch_11_02,0x107e4,Kuon,low,,Thanks for everything.,Obrigado por tudo.,,
ch_11_02,0x107fb,Kuon,low,,"I turn towards her, formally expressing\n","Viro-me pra ela, expressando formalmente\n",,
ch_11_02,0x10825,Kuon,low,,my gratitude.,minha gratidão.,,
ch_11_02,0x10833,Kuon,low,,"Oh no, I don't mind. And we did have a few\n","Ah, não, imagina. E a gente teve uns\n",,
ch_11_02,0x10860,Kuon,low,,"misunderstandings, so...","mal-entendidos, então...",,
ch_11_02,0x10879,Kuon,low,,Now then...,"Bom, então...",,
ch_11_02,0x10885,Kuon,low,,"The girl sits up straight, turns to me, and\n","A garota se senta ereta, vira-se pra mim e\n",,
ch_11_02,0x108b3,Kuon,low,,"announces in a clear, forthright tone. ",anuncia num tom claro e franco. ,,
ch_11_02,0x108db,Kuon,low,amostra;identico-fonte,Kuon.,Kuon.,,
ch_11_02,0x108e1,Kuon,low,,"My name. I haven't told you yet, I think.",Meu nome. Acho que ainda não te disse.,,
ch_11_02,0x1090b,Kuon,low,,Kuon. That is my name.,Kuon. Esse é o meu nome.,,
ch_11_02,0x10922,Kuon,low,,"O-Oh, your name, huh?","A-Ah, seu nome, é?",,
ch_11_02,0x10938,Kuon,low,identico-fonte,Kuon...,Kuon...,,
ch_11_02,0x10940,Kuon,low,,And what do they call you?,E como te chamam?,,
ch_11_02,0x1095b,Kuon,low,,My name...,Meu nome...,,
ch_11_02,0x10966,Kuon,low,,"Yes, your name.","Sim, seu nome.",,
ch_11_02,0x10976,Kuon,low,,Kuon's words stir something in my mind--\n,As palavras de Kuon mexem com algo na minha mente--\n,,
ch_11_02,0x109a1,Kuon,low,amostra,something important.,algo importante.,,
ch_11_02,0x109b6,Kuon,low,,"O-Oh right, I'm--","A-Ah, é, eu sou--",,
ch_11_02,0x109c8,Kuon,low,,I'm...?,Eu sou...?,,
ch_11_02,0x109d0,Kuon,low,,I... am...,Eu... sou...,,
ch_11_02,0x109db,Kuon,low,,Wait... Hold on...,Espera... Calma...,,
ch_11_02,0x109ee,Kuon,low,,"I bury my face in my hands, and try to dredge\n",Enterro o rosto nas mãos e tento resgatar\n,,
ch_11_02,0x10a1e,Kuon,low,,up any memories. There's bound to be\n,qualquer memória. Tem que haver\n,,
ch_11_02,0x10a45,Kuon,low,,"something, anything...","alguma coisa, qualquer coisa...",,
ch_11_02,0x10a5c,Kuon,low,,I am... I am...,Eu sou... Eu sou...,,
ch_11_02,0x10a6c,Kuon,low,amostra,But for some reason... nothing came.\n,Mas por algum motivo... nada veio.\n,,
ch_11_02,0x10a93,Kuon,low,,No ending to the sentence.,Nenhum fim pra frase.,,
ch_11_02,0x10aae,Kuon,low,,"W-Well, where did you come from? Or perhaps...\n","B-Bem, de onde você veio? Ou talvez...\n",,
ch_11_02,0x10adf,Kuon,low,,what have you been doing until now?,o que você andou fazendo até agora?,,
ch_11_02,0x10b03,Kuon,low,,Where... am I from?,De onde... eu venho?,,
ch_11_02,0x10b17,Kuon,low,,Where am I from... Where am I from...\n,De onde eu venho... De onde eu venho...\n,,
ch_11_02,0x10b3f,Kuon,low,,Where am I from...,De onde eu venho...,,
ch_11_02,0x10b52,Kuon,low,,"The words repeat in my mind like an incantation,\n","As palavras se repetem na minha mente como um mantra,\n",,
ch_11_02,0x10b85,Kuon,low,,but... nothing. I can't think past the haze.,mas... nada. Não consigo pensar além da névoa.,,
ch_11_02,0x10bb2,Haku,low,,I see...,Entendo...,,
ch_11_02,0x10bbb,Kuon,low,,"I can tell Kuon's also troubled, now that my\n","Dá pra ver que Kuon também está preocupada, agora que minha\n",,
ch_11_02,0x10bea,Kuon,low,,memory loss doesn't seem so temporary.,perda de memória não parece tão passageira.,,
ch_11_02,0x10c11,Kuon,low,,What have I been doing until now...?,O que eu andei fazendo até agora...?,,
ch_11_02,0x10c36,Kuon,low,,"As the thought crosses my mind, I raise my\n","Conforme o pensamento me ocorre, ergo a\n",,
ch_11_02,0x10c63,Kuon,low,,"head again, my gaze falling on her.","cabeça de novo, e meu olhar recai sobre ela.",,
ch_11_02,0x10c87,Kuon,low,,"That's right, she was...","É verdade, ela estava...",,
ch_11_02,0x10ca0,Kuon,low,,"I don't remember much, but if she was the one\n","Não lembro de muita coisa, mas se foi ela quem\n",,
ch_11_02,0x10cd0,Kuon,low,,"taking care of me, then maybe...","cuidou de mim, então talvez...",,
ch_11_02,0x10cf1,Kuon,low,,It looks like she's noticed my look of anticipation.\n,Parece que ela notou meu olhar de expectativa.\n,,
ch_11_02,0x10d28,Kuon,low,,"When she speaks, her voice is quiet.","Quando fala, a voz dela é baixa.",,
ch_11_02,0x10d4d,Kuon,low,amostra,"You were... passed out, alone in these remote\n","Você estava... desmaiado, sozinho nestas montanhas\n",,
ch_11_02,0x10d7d,Kuon,low,,mountains.,remotas.,,
ch_11_02,0x10d88,Kuon,low,,Alone?,Sozinho?,,
ch_11_02,0x10d8f,Kuon,low,,Mhm. And... I'd never sleep well at night again\n,Mhm. E... eu nunca mais dormiria bem à noite\n,,
ch_11_02,0x10dc1,Kuon,low,,"if I just left you, so... I took care of you.","se simplesmente te deixasse, então... cuidei de você.",,
ch_11_02,0x10def,Kuon,low,,"So I'm sorry to get your hopes up, but I think\n","Então sinto muito por criar esperança, mas acho\n",,
ch_11_02,0x10e20,Kuon,low,,that's really all I know about you for sure.,que é tudo o que sei sobre você ao certo.,,
ch_11_02,0x10e4d,Kuon,low,,I... see...,Eu... entendo...,,
ch_11_02,0x10e59,Kuon,low,,I'm sorry.,Desculpa.,,
ch_11_02,0x10e64,Kuon,low,,"No, it's my fault for getting my hopes up.","Não, a culpa é minha por criar esperança.",,
ch_11_02,0x10e8f,Kuon,low,,"That's kind of you to say, but... this is a mess,\n","É gentileza sua dizer isso, mas... isto é uma confusão,\n",,
ch_11_02,0x10ec3,Kuon,low,,isn't it? I didn't think it'd turn out like this...,não é? Não pensei que fosse acabar assim...,,
ch_11_02,0x10ef7,Kuon,low,,"Muttering, Kuon presses her hand to her\n","Resmungando, Kuon pressiona a mão na\n",,
ch_11_02,0x10f21,Kuon,low,amostra,forehead and rubs her temples with her\n,testa e esfrega as têmporas com os\n,,
ch_11_02,0x10f4a,Kuon,low,,fingers.,dedos.,,
ch_11_02,0x10f53,Kuon,low,,"Yeah, this is a mess all right. Great... what am\n","É, isto é uma baita confusão. Ótimo... o que\n",,
ch_11_02,0x10f86,Kuon,low,,I supposed to do in a situation like this?,é que eu faço numa situação dessas?,,
