term,category,target_translation,handling_rule,spoiler_level,aliases,notes,updated_date
Fire Bolt,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Solta uma bola de fogo estrondosa."" Ver termo Art.",2026-08-23
Flare Arrow,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Cobre o inimigo com chamas escaldantes."" Ver termo Art.",2026-08-23
Napalm Blow,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Faz chamas carmesim irromperem do chao."" Ver termo Art.",2026-08-23
Fire Bolt EX,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Versao aprimorada de Fire Bolt que dispara multiplas bolas de fogo."" Ver termo Art.",2026-08-23
Spiral Flare,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Lanca flechas de chamas escaldantes pelo ar."" Ver termo Art.",2026-08-23
Volcanic Rave,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Concentra energia num unico ponto para causar uma explosao massiva."" Ver termo Art.",2026-08-23
Forte,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Concede protecao contra fogo e aumenta o CP lentamente."" Ver termo Art.",2026-08-23
Meteo Fall,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Invoca um meteoro para atingir o solo abaixo."" Ver termo Art.",2026-08-23
Cyclone Napalm,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Um inferno carmesim giratorio que dizima tudo em seu caminho."" Ver termo Art.",2026-08-23
Arc Prominence,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Detona uma bola condensada de chamas que queima o chao."" Ver termo Art.",2026-08-23
La Forte,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Fire. Descricao original traduzida para referencia: ""Concede aos aliados na area protecao contra fogo e vitalidade."" Ver termo Art.",2026-08-23
Aerial,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Wind. Descricao original traduzida para referencia: ""Invoca um tornado violento cheio de pedras."" Ver termo Art.",2026-08-23
Aero Storm,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Wind. Descricao original traduzida para referencia: ""Libera um ciclone que corta os inimigos com laminas de ar."" Ver termo Art.",2026-08-23
Lightning,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Wind. Descricao original traduzida para referencia: ""Descarrega um raio eletrico perfurante."" Ver termo Art.",2026-08-23
Plasma Wave,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Wind. Descricao original traduzida para referencia: ""Atinge com uma poderosa onda de raios."" Ver termo Art.",2026-08-23
Sylphen Guard,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Wind. Descricao original traduzida para referencia: ""Cria uma barreira de vento que remove e anula debuffs."" Ver termo Art.",2026-08-23
Sylphen Wing,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Wind. Descricao original traduzida para referencia: ""Concede Previsao (Foresight) com o poder do vento."" Ver termo Art.",2026-08-23
Ragna Blast,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Wind. Descricao original traduzida para referencia: ""Abate os inimigos com o trovao da justica."" Ver termo Art.",2026-08-23
Grand Stream,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Wind. Descricao original traduzida para referencia: ""Despedaca os inimigos com uma rajada furiosa."" Ver termo Art.",2026-08-23
Sylpharion,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Wind. Descricao original traduzida para referencia: ""A bencao do passaro-espirito do vento reflete um ataque magico uma vez."" Ver termo Art.",2026-08-23
Soul Blur,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Libera uma onda que abala o espaco-tempo."" Ver termo Art.",2026-08-23
Shadow Spear,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Uma lamina do tempo que arranca a propria vida."" Ver termo Art.",2026-08-23
Hell Gate,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Suspende as funcoes vitais."" Ver termo Art.",2026-08-23
White Gehenna,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Distorce o espaco-tempo com magia sombria."" Ver termo Art.",2026-08-23
Clock Up,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Acelera o fluxo do tempo."" Ver termo Art.",2026-08-23
Clock Up EX,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Acelera muito o tempo, permitindo que os alvos ajam imediatamente."" Ver termo Art.",2026-08-23
Anti-Sept,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Impede artes inimigas e enfraquece os inimigos."" Ver termo Art.",2026-08-23
Anti-Sept All,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Impede todas as artes inimigas e enfraquece os inimigos."" Ver termo Art.",2026-08-23
Death Scream,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Um grito mortal que invoca o submundo."" Ver termo Art.",2026-08-23
Abyss Fall,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Invoca um mensageiro sobrenatural para devastar o campo de batalha."" Ver termo Art.",2026-08-23
Orbal Down,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Time. Descricao original traduzida para referencia: ""Atrasa o fluxo do tempo e causa efeitos adversos ao inimigo."" Ver termo Art.",2026-08-23
Dark Matter,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Space. Descricao original traduzida para referencia: ""Libera um campo de alta pressao que esmaga os inimigos."" Ver termo Art.",2026-08-23
Lost Mobius,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Space. Descricao original traduzida para referencia: ""Distorce o espaco para dobrar e esmagar os inimigos."" Ver termo Art.",2026-08-23
Thelas,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Space. Descricao original traduzida para referencia: ""Revitaliza um aliado e restaura uma pequena quantidade de HP."" Ver termo Art.",2026-08-23
Athelas,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Space. Descricao original traduzida para referencia: ""Revitaliza um aliado e restaura uma grande quantidade de HP."" Ver termo Art.",2026-08-23
Celestial,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Space. Descricao original traduzida para referencia: ""Revitaliza todos os aliados e restaura totalmente o HP deles."" Ver termo Art.",2026-08-23
Dark Matter EX,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Space. Descricao original traduzida para referencia: ""Libera um campo de pressao ultra alta que esmaga os inimigos."" Ver termo Art.",2026-08-23
Genesic Barrier,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Space. Descricao original traduzida para referencia: ""Uma barreira impenetravel que reflete todos os tipos de ataque."" Ver termo Art.",2026-08-23
Saint,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Mirage. Descricao original traduzida para referencia: ""Um brilho purificador que aprimora todas as habilidades e concede Fortuna."" Ver termo Art.",2026-08-23
Chaos Brand,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Mirage. Descricao original traduzida para referencia: ""Distorce a percepcao do inimigo e o enfraquece."" Ver termo Art.",2026-08-23
Silver Thorn,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Mirage. Descricao original traduzida para referencia: ""Faz chover uma torrente de laminas prateadas imbuidas de loucura."" Ver termo Art.",2026-08-23
Phantom Pain,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Mirage. Descricao original traduzida para referencia: ""Cria alucinacoes que deixam o inimigo inconsciente."" Ver termo Art.",2026-08-23
Silent Cross,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Mirage. Descricao original traduzida para referencia: ""Libera uma nevoa que drena a forca de vontade e traz infortunio."" Ver termo Art.",2026-08-23
Zodiac,Mecânica,,manter_original,none,,"Nome de Art (magia/tecnica) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Elemento: Mirage. Descricao original traduzida para referencia: ""Aprimora todas as habilidades dos aliados na area e concede Fortuna."" Ver termo Art.",2026-08-23
Morale,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Solta um grito energico para elevar o moral da equipe."" Ver termo Art.",2026-08-23
Morale EX,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Solta um grito feroz para elevar ainda mais o moral da equipe."" Ver termo Art.",2026-08-23
Hurricane,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Gira um cajado como um furacao para atingir inimigos na area."" Ver termo Art.",2026-08-23
True Hurricane,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Gira um cajado como uma tempestade violenta para desencadear um furacao imenso."" Ver termo Art.",2026-08-23
Hard Break,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere um golpe poderoso no ponto fraco do inimigo."" Ver termo Art.",2026-08-23
Shatter Break,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere um golpe meticulosamente preciso no ponto fraco do inimigo."" Ver termo Art.",2026-08-23
Comet,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Libera uma onda de choque como um cometa que atravessa os inimigos."" Ver termo Art.",2026-08-23
True Comet,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Libera uma onda de choque imensa, como um cometa, que atravessa os inimigos."" Ver termo Art.",2026-08-23
Pummel,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere uma sequencia de golpes brutais que roubam HP."" Ver termo Art.",2026-08-23
True Pummel,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere uma sequencia ainda mais poderosa de golpes brutais que roubam HP."" Ver termo Art.",2026-08-23
Barrage,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere habilmente uma serie de golpes finais."" Ver termo Art.",2026-08-23
True Barrage,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere habilmente uma serie de golpes precisos."" Ver termo Art.",2026-08-23
Wheel of Time,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Uma habilidade poderosa que converte energia rotacional em um golpe."" Ver termo Art.",2026-08-23
Flicker,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Corta os inimigos e atrapalha seus movimentos."" Ver termo Art.",2026-08-23
Shadow Flicker,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Cria imagens residuais que tambem cortam e atrapalham os inimigos."" Ver termo Art.",2026-08-23
Hidden Dual Strike,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Pega o inimigo desprevenido com dois golpes distintos."" Ver termo Art.",2026-08-23
True Cloak & Dagger,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere um golpe critico garantido com tecnica de lamina perfeita."" Ver termo Art.",2026-08-23
Evil Eye,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Instila terror ao encarar o inimigo com olhos dourados."" Ver termo Art.",2026-08-23
Evil Eye EX,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Aterroriza os inimigos com um olhar dourado gelido e penetrante."" Ver termo Art.",2026-08-23
True Sever,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desorienta e drena os inimigos com um golpe cortante aprimorado."" Ver termo Art.",2026-08-23
Black Fang,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Corta instantaneamente todos os inimigos com uma lamina sombria."" Ver termo Art.",2026-08-23
True Black Fang,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Uma lamina forjada nas trevas que derruba ate gigantes."" Ver termo Art.",2026-08-23
Phantom Raid,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Uma habilidade furtiva de alta velocidade que forma uma cadeia de imagens residuais."" Ver termo Art.",2026-08-23
Sylphen Whip,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Corta o ar para atingir inimigos com vacuo."" Ver termo Art.",2026-08-23
Sylphen Whip II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Golpes de chicote intensificados produzem um vacuo ainda mais afiado."" Ver termo Art.",2026-08-23
Bind Nail,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Sela os ataques inimigos com um golpe nos pontos vitais."" Ver termo Art.",2026-08-23
Lightning Nail,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Reprime os inimigos com um duplo chicotear imbuido de luz."" Ver termo Art.",2026-08-23
Heaven's Kiss,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Estimula os aliados com o chicote, permitindo que ajam imediatamente."" Ver termo Art.",2026-08-23
Heaven's Kiss II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Trata os aliados com dureza afetuosa, incitando-os a agir imediatamente."" Ver termo Art.",2026-08-23
Aerial Dance,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Confunde e drena os inimigos com um manejo agil do chicote e passos de danca."" Ver termo Art.",2026-08-23
Sadist Whip,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Envolve o inimigo numa rajada aterrorizante de chicotadas."" Ver termo Art.",2026-08-23
Sadist Whip II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Libera uma tempestade de chicotadas em forca total."" Ver termo Art.",2026-08-23
Judgment Card,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Uma carta que adivinha o destino do inimigo e executa um julgamento implacavel."" Ver termo Art.",2026-08-23
Quick Draw,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Abate todos os inimigos proximos de uma vez com velocidade inacreditavel."" Ver termo Art.",2026-08-23
Quick Draw II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Um ataque relampago que abate todos os inimigos no alcance."" Ver termo Art.",2026-08-23
Snipe Shot,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Sela as artes inimigas com um tiro certeiro."" Ver termo Art.",2026-08-23
Trinity Shot,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Mira com tres tipos de municao para restringir o movimento inimigo."" Ver termo Art.",2026-08-23
Happy Trigger,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Uma tecnica misteriosa que cura ferimentos ao arremessar um buque."" Ver termo Art.",2026-08-23
Happy Trigger II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Um golpe peculiar transbordando do amor de Olivier, com cura aprimorada."" Ver termo Art.",2026-08-23
Howling Bullet,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Dispara uma poderosa rajada de energia que causa uma explosao enorme."" Ver termo Art.",2026-08-23
Howling Bullet II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""O recuo reduzido permite rajadas de energia de maior densidade."" Ver termo Art.",2026-08-23
Requiem Hearts,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Libera uma furiosa saraivada de tiros que rompe o silencio."" Ver termo Art.",2026-08-23
Kämpfer,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere um ataque aereo repentino com Sieg."" Ver termo Art.",2026-08-23
Kämpfer β,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere um combo de dois golpes heroico e elegante com Sieg."" Ver termo Art.",2026-08-23
Sturm,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Manipula ventos congelantes num ataque combinado feroz."" Ver termo Art.",2026-08-23
Sturm II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Um ataque combinado abrasador potencializado pelo frio intensificado."" Ver termo Art.",2026-08-23
Weiss Aura,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Eleva o espirito dos aliados e concede bencaos divinas a eles."" Ver termo Art.",2026-08-23
Weiss Aura II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Eleva o espirito dos aliados e concede a eles bencaos divinas ainda maiores."" Ver termo Art.",2026-08-23
Lichtkreis,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Revive aliados com as bencaos da Deusa do Ceu."" Ver termo Art.",2026-08-23
Lichtkreis II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Revive aliados oferecendo uma prece repleta de amor e misericordia."" Ver termo Art.",2026-08-23
Sanctus Nova,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Reza a Deusa para invocar uma luz que abate os inimigos."" Ver termo Art.",2026-08-23
Wild Rage,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Eleva o espirito de luta ao custo de HP."" Ver termo Art.",2026-08-23
Wild Rage II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Eleva muito o espirito de luta ao custo de HP."" Ver termo Art.",2026-08-23
Flame Smash,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Um golpe poderoso envolto em chamas."" Ver termo Art.",2026-08-23
Crimson Smash,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Um golpe feroz envolto em chamas carmesim."" Ver termo Art.",2026-08-23
Draguna Edge,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Dispara uma onda de choque massiva que engole o inimigo por completo."" Ver termo Art.",2026-08-23
Draguna Blast,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Libera chamas ardentes e cortes que despedacam os inimigos."" Ver termo Art.",2026-08-23
Beat Down,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Avanca e desfere um combo de espada."" Ver termo Art.",2026-08-23
Beat Down II,Mecânica,,manter_original,none,,"Nome de Craft/S-Craft (tecnica de combate) confirmado em pac/steam/table_en.pac -> table_en/t_skill.tbl. Descricao original traduzida para referencia: ""Desfere um combo de espada com ainda mais habilidade e precisao."" Ver termo Art.",2026-08-23
